 Jerrold Nadler ,D
 Jerry McNerney ,D
 Jerry Moran ,R
 Jim Banks ,R
 Jim Bridenstine ,R
 Jim Clyburn ,D
 Jim Cooper ,D
 Jim Costa ,D
 Jim Himes ,D
 Jim Inhofe ,R
 Jim Jordan ,R
 Jim McGovern ,D
 Jim Renacci ,R
 Jim Risch ,R
 Jim Sensenbrenner ,R
 Jimmy Duncan ,R
 Jimmy Panetta ,D
 Joaquín Castro ,D
 Jodey Arrington ,R
 Jody Hice ,R
 Joe Barton ,R
 Joe Courtney ,D
 Joe Donnelly ,D
 Joe Manchin ,D
 Joe Wilson ,R
 John Larson,D
 John Barrasso ,R
 John Boozman ,R
 John Carter ,R
 John Conyers ,D
 John Cornyn ,R
 John Culberson ,R
 John Delaney ,D
 John Faso ,R
 John Garamendi ,D
 John Hoeven ,R
 John Katko ,R
 John Kennedy ,R
 John Lewis ,D
 John McCain ,R
 John Moolenaar ,R
 John Ratcliffe ,R
 John Rutherford ,R
 John Sarbanes ,D
 John Shimkus ,R
 John Thune ,R
 John Yarmuth ,D
 Johnny Isakson ,R
 Jon Tester ,D
 Joni Ernst ,R
 José Serrano,D
 Joseph Crowley ,D
 Joseph Kennedy,D
 Josh Gottheimer ,D
 Joyce Beatty ,D
 Juan Vargas ,D
 Judy Chu ,D
 Julia Brownley ,D
 Justin Amash ,R
 Kamala Harris ,D
 Karen Bass ,D
 Katherine Clark ,D
 Kathleen Rice ,D
 Kathy Castor ,D
 Kay Granger ,R
 Keith Ellison ,D
 Keith Rothfus ,R
 Ken Buck ,R
 Ken Calvert ,R
 Kenny Marchant ,R
 Kevin Brady ,R
 Kevin Cramer ,R
 Kevin McCarthy ,R
 Kevin Yoder ,R
 Kirsten Gillibrand ,D
 Kristi Noem ,R
 Kurt Schrader ,D
 Kyrsten Sinema ,D
 Lacy Clay ,D
 Lamar Alexander ,R
 Lamar Smith,R
 Larry Bucshon ,R
 Lee Zeldin ,R
 Leonard Lance ,R
 Linda Sánchez ,D
 Lindsey Graham ,R
 Lisa Blunt Rochester ,D
 Lisa Murkowski ,R
 Liz Cheney ,R
 Lloyd Doggett ,D
 Lloyd Smucker ,R
 Lois Frankel ,D
 Lou Barletta ,R
 Lou Correa ,D
 Louie Gohmert ,R
 Louise Slaughter ,D
 Lucille Roybal-Allard ,D
 Luis Gutiérrez ,D
 Luke Messer ,R
 Lynn Jenkins ,R
 Mac Thornberry ,R
 Madeleine Bordallo ,D
 Maggie Hassan ,D
 Marc Veasey ,D
 Marcia Fudge ,D
 Marco Rubio ,R
 Marcy Kaptur ,D
 Maria Cantwell ,D
 Mario Díaz-Balart ,R
 Mark Amodei ,R
 Mark DeSaulnier ,D
 Mark Meadows ,R
 Mark Pocan ,D
 Mark Sanford ,R
 Mark Takano ,D
 Mark Walker ,R
 Mark Warner ,D
 Markwayne Mullin ,R
 Marsha Blackburn ,R
 Martha McSally ,R
 Martha Roby ,R
 Martin Heinrich ,D
 Matt Cartwright ,D
 Matt Gaetz ,R
 Maxine Waters ,D
 Mazie Hirono ,D
 Mia Love ,R
 Michael Bennet ,D
 Michael Burgess ,R
 Michael Doyle,D
 Michael McCaul ,R
 Michelle Lujan Grisham ,D
 Mick Mulvaney ,R
 Mike Bishop ,R
 Mike Bost ,R
 Mike Capuano ,D
 Mike Coffman ,R
 Mike Conaway ,R
 Mike Crapo ,R
 Mike Enzi ,R
 Mike Gallagher ,R
 Mike Johnson ,R
 Mike Kelly ,R
 Mike Lee ,R
 Mike Quigley ,D
 Mike Rogers ,R
 Mike Rounds ,R
 Mike Simpson ,R
 Mike Thompson ,D
 Mike Turner ,R
 Mimi Walters ,R
 Mitch McConnell ,R
 Mo Brooks ,R
 Morelle ,D
 Morgan Griffith ,R
 Nancy Pelosi ,D
 Nanette Barragán ,D
 Neal Dunn ,R
 Niki Tsongas ,D
 Nita Lowey ,D
 Norma Torres ,D
 Nydia Velázquez ,D
 Orrin Hatch ,R
 Pat Meehan ,R
 Pat Roberts ,R
 Pat Tiberi ,R
 Pat Toomey ,R
 Patrick Leahy ,D
 Patrick McHenry ,R
 Patty Murray ,D
 Paul Cook ,R
 Paul Gosar ,R
 Paul Mitchell ,R
 Paul Ryan ,R
 Paul Tonko ,D
 Pete Aguilar ,D
 Pete Olson ,R
 Pete Sessions ,R
 Pete Visclosky ,D
 Peter DeFazio ,D
 Peter Roskam ,R
 Peter King,R
 Peter Welch ,D
 Phil Roe ,R
 Pramila Jayapal ,D
 Raja Krishnamoorthi ,D
 Ralph Abraham ,R
 Rand Paul ,R
 Randy Hultgren ,R
 Randy Weber ,R
 Raúl Grijalva ,D
 Raúl Labrador ,R
 Raul Ruiz ,D
